                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4716,                 3.2912,                 1.3793,                 0.5135,                0.36181,                0.29842,                0.18347,                 1.1873,                  3.765,                 1.2507,              0.0001428,              0.0001428,              0.0001428
                      2,                 1.1068,                 1.4729,                 1.0688,                0.59473,                0.43073,                0.37394,                0.23251,                 1.1766,                  3.016,                 1.2472,             0.00028984,             0.00028984,             0.00028984
                      3,                  1.107,                 1.2624,                 1.0877,                0.55942,                0.31893,                0.29839,                0.18582,                 1.4018,                 3.8043,                 1.4695,             0.00043391,             0.00043391,             0.00043391
                      4,                 1.1087,                 1.2001,                 1.0963,                0.38409,                0.35965,                0.31674,                0.18823,                  1.467,                 3.0964,                 1.6246,             0.00057502,             0.00057502,             0.00057502
                      5,                 1.0987,                 1.1008,                 1.0765,                0.55091,                0.40313,                0.32797,                0.20173,                 1.3907,                 2.1809,                 1.4617,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.1159,                 1.0705,                 1.0917,                 0.5744,                0.31907,                0.32002,                0.19985,                 1.3671,                  2.334,                    1.5,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.0915,                 1.0591,                 1.0905,                0.63685,                0.32613,                0.31983,                0.19623,                 1.3694,                 3.4455,                  1.508,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.0836,                  1.009,                 1.0734,                0.62183,                0.37205,                0.37317,                0.21547,                 1.4459,                 2.2491,                 1.5922,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.0718,                0.97714,                 1.0716,                0.58917,                0.35521,                0.35249,                0.21642,                 1.4117,                 1.6925,                 1.5104,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.0436,                0.92955,                 1.0604,                0.58932,                0.35864,                0.33923,                0.20707,                 1.4858,                 1.9232,                 1.5472,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.0449,                0.90936,                 1.0447,                0.63799,                0.35556,                0.38257,                0.23917,                 1.3717,                 1.8036,                 1.4767,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.0236,                0.85864,                 1.0423,                0.58907,                0.38033,                0.37053,                0.23256,                 1.3171,                 1.5338,                 1.4259,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.0211,                0.88779,                 1.0671,                0.60462,                0.39396,                0.38629,                0.23249,                 1.3065,                 1.6041,                 1.3717,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.0198,                 0.8856,                 1.0387,                 0.6652,                0.37866,                0.39458,                0.23278,                 1.3539,                 1.7062,                 1.4143,             0.00062211,             0.00062211,             0.00062211
                     15,                0.99813,                0.80451,                  1.031,                0.68254,                0.34476,                 0.4074,                0.25111,                 1.3584,                 1.6191,                 1.4031,             0.00061504,             0.00061504,             0.00061504
                     16,                0.99598,                0.80009,                 1.0357,                0.64147,                0.36435,                0.37945,                0.22437,                 1.3937,                 1.8049,                 1.4284,             0.00060797,             0.00060797,             0.00060797
                     17,                0.94919,                0.74613,                 1.0188,                0.72058,                0.36344,                0.38153,                0.22981,                 1.3821,                 1.7069,                 1.4344,              0.0006009,              0.0006009,              0.0006009
                     18,                0.96035,                0.76573,                 1.0141,                0.62273,                0.39985,                0.38208,                0.23734,                 1.3679,                  1.864,                  1.439,             0.00059383,             0.00059383,             0.00059383
                     19,                0.96507,                0.78449,                 1.0196,                0.66442,                0.37445,                0.39963,                0.23643,                 1.3845,                  1.744,                 1.4568,             0.00058677,             0.00058677,             0.00058677
                     20,                0.89899,                0.73009,                 0.9957,                0.65428,                0.43304,                0.39358,                0.23841,                 1.3687,                 1.7554,                 1.4559,              0.0005797,              0.0005797,              0.0005797
                     21,                0.90244,                0.69393,                 1.0054,                0.61668,                0.41565,                 0.3853,                0.23011,                 1.2826,                 1.7057,                 1.3748,             0.00057263,             0.00057263,             0.00057263
                     22,                0.88998,                0.70618,                0.99785,                0.68734,                0.41851,                0.42149,                0.27172,                 1.2388,                 1.4866,                 1.3607,             0.00056556,             0.00056556,             0.00056556
                     23,                0.90344,                0.67453,                0.98916,                0.62571,                0.37882,                0.36207,                0.23318,                 1.2679,                 1.6937,                 1.3677,             0.00055849,             0.00055849,             0.00055849
                     24,                0.90024,                0.69067,                0.97613,                0.61674,                0.44024,                0.41039,                0.24345,                 1.2779,                 1.7058,                 1.3562,             0.00055142,             0.00055142,             0.00055142
                     25,                0.90247,                0.67038,                0.98388,                0.39057,                0.50128,                0.40678,                0.24115,                 1.3371,                 1.6821,                 1.4189,             0.00054435,             0.00054435,             0.00054435
                     26,                0.84398,                 0.6282,                0.98114,                0.55103,                0.45808,                0.45861,                0.27835,                  1.308,                 1.5852,                 1.3781,             0.00053728,             0.00053728,             0.00053728
